severity,code,date,match,match_id,detail,source_filename
WARNING,GOAL_MISSING_SCORER,1912-09-08,TIF Viking-Brann 0-9,aa0e0b42-e342-460d-9b92-b0428b13b8ba,"Mal mangler malscorer. Event #8, minutt 80, type goal.",1912-09-08_viking-bergen-brann.json
WARNING,GOAL_MISSING_SCORER,1912-09-22,Brann-Stavanger 2-8,b42422a9-e9b2-44f0-a94f-3dce5dfd6c61,"Mal mangler malscorer. Event #0, minutt 3, type goal.",1912-09-22_brann-stavanger.json
WARNING,GOAL_MISSING_SCORER,1912-09-22,Brann-Stavanger 2-8,b42422a9-e9b2-44f0-a94f-3dce5dfd6c61,"Mal mangler malscorer. Event #2, minutt 34, type penaltyGoal.",1912-09-22_brann-stavanger.json
WARNING,GOAL_MISSING_SCORER,1912-09-22,Brann-Stavanger 2-8,b42422a9-e9b2-44f0-a94f-3dce5dfd6c61,"Mal mangler malscorer. Event #3, minutt 37, type goal.",1912-09-22_brann-stavanger.json
WARNING,GOAL_MISSING_SCORER,1912-09-22,Brann-Stavanger 2-8,b42422a9-e9b2-44f0-a94f-3dce5dfd6c61,"Mal mangler malscorer. Event #4, minutt 40, type goal.",1912-09-22_brann-stavanger.json
WARNING,GOAL_MISSING_SCORER,1912-09-22,Brann-Stavanger 2-8,b42422a9-e9b2-44f0-a94f-3dce5dfd6c61,"Mal mangler malscorer. Event #5, minutt 41, type goal.",1912-09-22_brann-stavanger.json
WARNING,GOAL_MISSING_SCORER,1912-09-22,Brann-Stavanger 2-8,b42422a9-e9b2-44f0-a94f-3dce5dfd6c61,"Mal mangler malscorer. Event #6, minutt 44, type goal.",1912-09-22_brann-stavanger.json
WARNING,GOAL_MISSING_SCORER,1912-09-22,Brann-Stavanger 2-8,b42422a9-e9b2-44f0-a94f-3dce5dfd6c61,"Mal mangler malscorer. Event #7, minutt 48, type goal.",1912-09-22_brann-stavanger.json
WARNING,GOAL_MISSING_SCORER,1912-09-22,Brann-Stavanger 2-8,b42422a9-e9b2-44f0-a94f-3dce5dfd6c61,"Mal mangler malscorer. Event #8, minutt 67, type ownGoal.",1912-09-22_brann-stavanger.json
WARNING,GOAL_MISSING_SCORER,1912-09-22,Brann-Stavanger 2-8,b42422a9-e9b2-44f0-a94f-3dce5dfd6c61,"Mal mangler malscorer. Event #9, minutt 86, type goal.",1912-09-22_brann-stavanger.json
WARNING,GOAL_MISSING_SCORER,1913-09-14,Stavanger-Brann 6-4,ed213730-bf14-40af-93fc-408d37e0d828,"Mal mangler malscorer. Event #5, minutt 58, type goal.",1913-09-14_stavanger-brann.json
WARNING,GOAL_MISSING_SCORER,1913-09-14,Stavanger-Brann 6-4,ed213730-bf14-40af-93fc-408d37e0d828,"Mal mangler malscorer. Event #8, minutt 78, type goal.",1913-09-14_stavanger-brann.json
WARNING,GOAL_MISSING_SCORER,1913-09-14,Stavanger-Brann 6-4,ed213730-bf14-40af-93fc-408d37e0d828,"Mal mangler malscorer. Event #9, minutt 85, type goal.",1913-09-14_stavanger-brann.json
WARNING,GOAL_MISSING_SCORER,1914-09-13,Stavanger-Brann 8-1,1743e8ff-c0e5-49a2-a08f-77531741e4ac,"Mal mangler malscorer. Event #0, minutt 5, type goal.",1914-09-13_stavanger-brann.json
WARNING,GOAL_MISSING_SCORER,1915-09-12,Brann-Lyn 3-2,082645c1-461a-4dff-8bea-b9f3d997caca,"Mal mangler malscorer. Event #1, minutt 49, type goal.",1915-09-12_brann-lyn.json
WARNING,GOAL_MISSING_SCORER,1915-09-12,Brann-Lyn 3-2,082645c1-461a-4dff-8bea-b9f3d997caca,"Mal mangler malscorer. Event #2, minutt 56, type goal.",1915-09-12_brann-lyn.json
WARNING,GOAL_MISSING_SCORER,1915-09-26,Kvik Halden-Brann 8-0,14213df7-9e82-4fd2-9f55-98ac8eb94f64,"Mal mangler malscorer. Event #0, minutt 3, type goal.",1915-09-26_kvik-halden-brann.json
WARNING,GOAL_MISSING_SCORER,1917-08-12,Vidar-Brann 0-7,901be39e-bc26-4d5c-bdef-8f64da9f57f1,"Mal mangler malscorer. Event #6, minutt 87, type penaltyGoal.",1917-08-12_vidar-brann.json
WARNING,GOAL_MISSING_SCORER,1920-08-09,Brann-Vidar 5-1,95408247-bf0e-4c2b-88f5-eeeb1395bb5f,"Mal mangler malscorer. Event #2, minutt 32, type penaltyGoal.",1920-08-09_brann-vidar.json
WARNING,GOAL_MISSING_SCORER,1921-05-25,Hardy-Brann 1-8,5a978c80-ae2f-4512-9985-8c9a9e1eb4ab,"Mal mangler malscorer. Event #3, minutt 32, type goal.",1921-05-25_hardy-brann.json
WARNING,GOAL_MISSING_SCORER,1921-06-22,Frem-Brann 1-5,b2b387d5-4731-47a2-80d6-b8668c7d7604,"Mal mangler malscorer. Event #2, minutt 37, type goal.",1921-06-22_frem-brann.json
WARNING,GOAL_MISSING_SCORER,1921-09-11,Fredrikstad-Brann 1-4,3dbe1265-790d-4fd6-b264-e85d0f1e8430,"Mal mangler malscorer. Event #2, minutt 53, type goal.",1921-09-11_fredrikstad-brann.json
WARNING,GOAL_MISSING_SCORER,1923-09-23,Brann-Kvik (Trondheim) 4-1,b1a5b2a4-9f2f-41a3-a1ce-cfd024a6b337,"Mal mangler malscorer. Event #1, minutt 32, type ownGoal.",1923-09-23_brann-kvik.json
WARNING,GOAL_MISSING_SCORER,1924-08-31,Brann-Frigg 3-2,9a62a148-4c5b-4d60-b947-b43b5dfc82b9,"Mal mangler malscorer. Event #4, minutt 80, type goal.",1924-08-31_brann-frigg.json
WARNING,GOAL_MISSING_SCORER,1926-06-09,Hardy-Brann 1-2,a15d1c5e-4e6b-43c3-b23d-0200e3511a2f,"Mal mangler malscorer. Event #0, minutt 25, type goal.",1926-06-09_hardy-brann.json
WARNING,GOAL_MISSING_SCORER,1926-09-05,Brann-Gjøvik-Lyn 4-1,bb492e0a-12cb-4877-abf8-83134db87ff7,"Mal mangler malscorer. Event #0, minutt 6, type goal.",1926-09-05_brann-gjovik-lyn.json
WARNING,GOAL_MISSING_SCORER,1927-06-02,Brann-Hardy 10-1,fb9d3975-1dc1-4e97-9351-652807ae06b7,"Mal mangler malscorer. Event #7, minutt 75, type goal.",1927-06-02_brann-hardy.json
WARNING,GOAL_MISSING_SCORER,1927-08-21,Brann-Kampørn 3-1,68750390-c19b-492b-91d1-c994a42bf488,"Mal mangler malscorer. Event #0, minutt 20, type goal.",1927-08-21_brann-kamporn.json
WARNING,GOAL_MISSING_SCORER,1928-05-30,Ny-Solheim-Brann 2-4,2154d9f5-4e3a-49af-ad5f-7174c46a007a,"Mal mangler malscorer. Event #0, minutt 23, type penaltyGoal.",1928-05-30_ny-solheim-brann.json
WARNING,GOAL_MISSING_SCORER,1928-05-30,Ny-Solheim-Brann 2-4,2154d9f5-4e3a-49af-ad5f-7174c46a007a,"Mal mangler malscorer. Event #2, minutt 52, type goal.",1928-05-30_ny-solheim-brann.json
WARNING,GOAL_MISSING_SCORER,1928-06-20,Minde-Brann 3-1,037aea2f-aea2-4a3f-be9c-fcfccccd9c1b,"Mal mangler malscorer. Event #3, minutt 85, type goal.",1928-06-20_minde-brann.json
WARNING,GOAL_MISSING_SCORER,1928-08-08,Brann-Hardy 6-3,003a409d-873c-40d5-b088-aa21dfd6506b,"Mal mangler malscorer. Event #1, minutt 30, type goal.",1928-08-08_brann-hardy.json
WARNING,GOAL_MISSING_SCORER,1928-08-08,Brann-Hardy 6-3,003a409d-873c-40d5-b088-aa21dfd6506b,"Mal mangler malscorer. Event #2, minutt 37, type goal.",1928-08-08_brann-hardy.json
WARNING,GOAL_MISSING_SCORER,1929-08-25,Brann-Lisleby 6-2,287cdcbe-be5f-459b-9335-ab6a54295246,"Mal mangler malscorer. Event #2, minutt 23, type goal.",1929-08-25_brann-lisleby.json
WARNING,GOAL_MISSING_SCORER,1929-08-25,Brann-Lisleby 6-2,287cdcbe-be5f-459b-9335-ab6a54295246,"Mal mangler malscorer. Event #7, minutt 84, type goal.",1929-08-25_brann-lisleby.json
WARNING,GOAL_MISSING_SCORER,1929-09-15,Brann-Sarpsborg FK 1-2,a6f197f8-4bfc-4949-a0c6-71c2a5f112b5,"Mal mangler malscorer. Event #1, minutt 57, type goal.",1929-09-15_brann-sarpsborg-fk.json
WARNING,GOAL_MISSING_SCORER,1929-09-15,Brann-Sarpsborg FK 1-2,a6f197f8-4bfc-4949-a0c6-71c2a5f112b5,"Mal mangler malscorer. Event #2, minutt 86, type goal.",1929-09-15_brann-sarpsborg-fk.json
WARNING,GOAL_MISSING_SCORER,1932-05-12,Ny-Solheim-Brann 1-6,03f0b9c3-5784-4936-ae42-bf7bab8e0413,"Mal mangler malscorer. Event #0, minutt 5, type goal.",1932-05-12_ny-solheim-brann.json
WARNING,GOAL_MISSING_SCORER,1934-08-06,Brann-Årstad 4-1,2f95bbc8-fbc6-4bca-a3cd-2f7a6caa8d26,"Mal mangler malscorer. Event #4, minutt 71, type goal.",1934-08-06_brann-arstad.json
WARNING,GOAL_MISSING_SCORER,1936-08-12,Viggo-Brann 1-7,2c325e25-cbc7-4ff7-8a80-73117b1695a7,"Mal mangler malscorer. Event #7, minutt 78, type goal.",1936-08-12_viggo-brann.json
WARNING,GOAL_MISSING_SCORER,1937-06-06,Høyanger-Brann 1-7,2c60460a-7400-4afe-9cf7-4e9e0d4f8726,"Mal mangler malscorer. Event #2, minutt 30, type goal.",1937-06-06_hoyanger-brann.json
WARNING,GOAL_MISSING_SCORER,1937-08-12,Viggo-Brann 1-1,c7b01d62-060c-43e4-a037-6a827b3c5e0b,"Mal mangler malscorer. Event #1, minutt 11, type goal.",1937-08-12_viggo-brann.json
WARNING,GOAL_MISSING_SCORER,1937-08-24,Brann-Årstad 3-2,213c92ae-1d61-44b4-ba11-486e78f09500,"Mal mangler malscorer. Event #2, minutt 44, type goal.",1937-08-24_brann-arstad.json
WARNING,GOAL_MISSING_SCORER,1937-08-24,Brann-Årstad 3-2,213c92ae-1d61-44b4-ba11-486e78f09500,"Mal mangler malscorer. Event #4, minutt 67, type goal.",1937-08-24_brann-arstad.json
WARNING,GOAL_MISSING_SCORER,1938-10-09,Brann-Årstad 1-1,dd62dc78-3c58-482d-a4b1-49fd04928adc,"Mal mangler malscorer. Event #1, minutt 75, type goal.",1938-10-09_brann-arstad.json
WARNING,GOAL_MISSING_SCORER,1939-05-07,Brann-Voss 1-2,e1b802b3-09f1-4d5b-8fd9-8f108df461a4,"Mal mangler malscorer. Event #0, minutt 47, type goal.",1939-05-07_brann-voss.json
